title,title_norm,year,rt_tomato,rt_audience,tomatometer_count,audience_count,tomatometer_status,audience_status
Shutter,shutter,2008.0,9.0,33.0,66.0,241178.0,Rotten,Spilled
Priest,priest,2011.0,15.0,46.0,100.0,86623.0,Rotten,Spilled
The Broken,the broken,,49.0,25.0,39.0,2548.0,Rotten,Spilled
The Escapist,the escapist,2008.0,64.0,63.0,45.0,14816.0,Fresh,Upright
Sugar,sugar,2008.0,92.0,80.0,137.0,12642.0,Certified-Fresh,Upright
Quid Pro Quo,quid pro quo,2008.0,61.0,54.0,36.0,1775.0,Fresh,Spilled
Red,red,2008.0,70.0,68.0,27.0,2607.0,Fresh,Upright
The Guitar,the guitar,2008.0,33.0,55.0,18.0,1058.0,Rotten,Spilled
The Road,the road,2009.0,73.0,68.0,215.0,248465.0,Certified-Fresh,Upright
G-Force,g force,2009.0,22.0,39.0,127.0,964669.0,Rotten,Spilled
The Other Man,the other man,2008.0,15.0,18.0,39.0,4522.0,Rotten,Spilled
The Duchess,the duchess,2008.0,62.0,67.0,170.0,68912.0,Fresh,Upright
The Women,the women,2008.0,14.0,38.0,148.0,62045.0,Rotten,Spilled
Public Enemies,public enemies,2009.0,68.0,59.0,278.0,633778.0,Fresh,Spilled
Night and Day (Bam gua nat),night and day bam gua nat,2009.0,93.0,68.0,14.0,336.0,Fresh,Upright
Julia,julia,2009.0,72.0,67.0,58.0,17308.0,Certified-Fresh,Upright
Angel and the Badman,angel and the badman,1947.0,71.0,67.0,7.0,6982.0,Fresh,Upright
Fade to Black,fade to black,2006.0,29.0,34.0,7.0,284.0,Rotten,Spilled
Angel Heart,angel heart,1987.0,79.0,81.0,29.0,30089.0,Fresh,Upright
Old Dogs,old dogs,2009.0,5.0,44.0,110.0,182900.0,Rotten,Spilled
Surrogates,surrogates,2009.0,37.0,38.0,116.0,295050.0,Rotten,Spilled
The Promotion,the promotion,2008.0,53.0,28.0,77.0,84738.0,Rotten,Spilled
Notorious,notorious,2009.0,52.0,65.0,146.0,97063.0,Rotten,Upright
Soul Men,soul men,2008.0,46.0,58.0,98.0,54256.0,Rotten,Spilled
Igor,igor,2008.0,39.0,38.0,93.0,82504.0,Rotten,Spilled
The Matador,the matador,2008.0,73.0,65.0,15.0,205.0,Fresh,Upright
The Auteur,the auteur,2008.0,67.0,41.0,6.0,266.0,Fresh,Spilled
The Caller,the caller,2008.0,13.0,19.0,16.0,334.0,Rotten,Spilled
Sin Nombre,sin nombre,2009.0,88.0,89.0,120.0,21295.0,Certified-Fresh,Upright
Das Haus der Schlafenden Schönen (House of the Sleeping Beauties),das haus der schlafenden sch nen house of the sleeping beauties,2008.0,28.0,17.0,18.0,173.0,Rotten,Spilled
The Stone Angel,the stone angel,2007.0,44.0,58.0,25.0,3026.0,Rotten,Spilled
Alvin and the Chipmunks: The Squeakquel,alvin and the chipmunks the squeakquel,2009.0,20.0,49.0,84.0,368619.0,Rotten,Spilled
Un Conte de Noël (A Christmas Tale),un conte de no l a christmas tale,2008.0,86.0,66.0,132.0,23425.0,Certified-Fresh,Upright
The Rebound,the rebound,2009.0,41.0,46.0,27.0,31189.0,Rotten,Spilled
Ripple Effect,ripple effect,2008.0,29.0,,7.0,,Rotten,
"1,000 Times Good Night",1 000 times good night,2014.0,71.0,65.0,55.0,1884.0,Fresh,Upright
Harold,harold,2008.0,31.0,41.0,16.0,793.0,Rotten,Spilled
Push,push,2009.0,23.0,42.0,127.0,2026452.0,Rotten,Spilled
Felon,felon,2008.0,63.0,82.0,24.0,13899.0,Fresh,Upright
Scar,scar,2007.0,0.0,11.0,18.0,689.0,Rotten,Spilled
The Unborn,the unborn,2009.0,10.0,30.0,119.0,831848.0,Rotten,Spilled
Bitch Slap,bitch slap,2010.0,29.0,29.0,17.0,10344.0,Rotten,Spilled
Forever Strong,forever strong,2008.0,29.0,75.0,21.0,9885.0,Rotten,Upright
Chocolate,chocolate,2008.0,74.0,73.0,34.0,12249.0,Fresh,Upright
Fireproof,fireproof,2008.0,38.0,82.0,21.0,39765.0,Rotten,Upright
Dostana,dostana,2008.0,87.0,68.0,15.0,4448.0,Fresh,Upright
The Garden,the garden,2008.0,79.0,85.0,24.0,457.0,Fresh,Upright
Splinter,splinter,2008.0,73.0,49.0,37.0,13218.0,Fresh,Spilled
Leaves of Grass,leaves of grass,2010.0,61.0,49.0,38.0,15345.0,Fresh,Spilled
Rab Ne Bana Di Jodi (A Couple Made by God) (A Match Made in Heaven),rab ne bana di jodi a couple made by god a match made in heaven,2008.0,78.0,71.0,9.0,4363.0,Fresh,Upright
The Proposal,the proposal,2009.0,45.0,67.0,188.0,860325.0,Rotten,Upright
Gigantic,gigantic,2009.0,36.0,34.0,83.0,97063.0,Rotten,Spilled
Fuel,fuel,2008.0,72.0,82.0,18.0,8322.0,Fresh,Upright
Hush,hush,2009.0,50.0,37.0,8.0,1587.0,Rotten,Spilled
Anna Karenina,anna karenina,1935.0,93.0,69.0,14.0,3066.0,Fresh,Upright
Orphan,orphan,2009.0,56.0,63.0,154.0,872860.0,Rotten,Upright
My Sister's Keeper,my sister s keeper,2009.0,48.0,72.0,137.0,365345.0,Rotten,Upright
The Hangover,the hangover,2009.0,78.0,84.0,239.0,943179.0,Certified-Fresh,Upright
The Stepfather,the stepfather,2009.0,11.0,35.0,63.0,982237.0,Rotten,Spilled
Okuribito (Departures),okuribito departures,2009.0,80.0,92.0,108.0,51962.0,Certified-Fresh,Upright
Boogie (Summer Holiday),boogie summer holiday,2008.0,100.0,67.0,10.0,354.0,Fresh,Upright
Prima Ballerina,prima ballerina,2009.0,81.0,100.0,26.0,24.0,Fresh,Upright
Season of the Witch,season of the witch,2011.0,11.0,30.0,124.0,79868.0,Rotten,Spilled
Shuttle,shuttle,2009.0,50.0,36.0,22.0,1554.0,Rotten,Spilled
Miss March,miss march,2009.0,5.0,29.0,80.0,79384.0,Rotten,Spilled
An American Affair,an american affair,2009.0,16.0,41.0,37.0,1722.0,Rotten,Spilled
Grace,grace,2009.0,71.0,31.0,31.0,10269.0,Fresh,Spilled
Endgame,endgame,2009.0,71.0,57.0,7.0,662.0,Fresh,Spilled
The Red Baron (Der rote Baron),the red baron der rote baron,2008.0,20.0,43.0,25.0,11070.0,Rotten,Spilled
The Objective,the objective,2008.0,33.0,32.0,12.0,3690.0,Rotten,Spilled
Happy Tears,happy tears,2010.0,27.0,21.0,33.0,1551.0,Rotten,Spilled
The Missing Person,the missing person,2009.0,64.0,44.0,25.0,6767.0,Fresh,Spilled
Polanski (Polanski Unauthorized),polanski polanski unauthorized,2009.0,0.0,38.0,6.0,231.0,Rotten,Spilled
Mammoth (Mammut),mammoth mammut,2009.0,45.0,63.0,42.0,7007.0,Rotten,Upright
Crude,crude,2009.0,95.0,85.0,66.0,1479.0,Certified-Fresh,Upright
The Messenger,the messenger,2009.0,90.0,75.0,162.0,21592.0,Certified-Fresh,Upright
Lake Mungo,lake mungo,2009.0,95.0,62.0,21.0,2856.0,Fresh,Upright
Venkovský Ucitel (The Country Teacher),venkovsk ucitel the country teacher,2008.0,81.0,72.0,27.0,1723.0,Fresh,Upright
The Apartment,the apartment,1960.0,93.0,94.0,71.0,38188.0,Certified-Fresh,Upright
Chatham (The Golden Boys),chatham the golden boys,2009.0,28.0,22.0,18.0,801.0,Rotten,Spilled
The Ape,the ape,1940.0,43.0,12.0,7.0,510.0,Rotten,Spilled
Fame,fame,2009.0,24.0,36.0,122.0,194974.0,Rotten,Spilled
Outrage,outrage,2009.0,77.0,76.0,60.0,6683.0,Certified-Fresh,Upright
Skin,skin,2009.0,84.0,79.0,64.0,2118.0,Certified-Fresh,Upright
Helen,helen,2008.0,67.0,36.0,21.0,172.0,Fresh,Spilled
Bakjwi (Thirst),bakjwi thirst,2009.0,81.0,75.0,115.0,19477.0,Certified-Fresh,Upright
Vengeance (Fuk sau),vengeance fuk sau,2010.0,91.0,60.0,22.0,1881.0,Fresh,Upright
New World Order,new world order,2009.0,56.0,48.0,9.0,255.0,Rotten,Spilled
April Fool's Day,april fool s day,1986.0,50.0,47.0,20.0,13437.0,Rotten,Spilled
Blood: The Last Vampire,blood the last vampire,2009.0,25.0,33.0,53.0,94562.0,Rotten,Spilled
Shrink,shrink,2009.0,27.0,50.0,64.0,42784.0,Rotten,Spilled
Ong Bak 2,ong bak 2,2009.0,48.0,53.0,69.0,21197.0,Rotten,Spilled
Bananas!,bananas,2009.0,86.0,44.0,7.0,217.0,Fresh,Spilled
Last Ride,last ride,2012.0,93.0,65.0,28.0,3560.0,Fresh,Upright
Tron Legacy,tron legacy,2010.0,51.0,63.0,243.0,171610.0,Rotten,Upright
The Canyon,the canyon,2009.0,27.0,32.0,15.0,613.0,Rotten,Spilled
"Manson, My Name Is Evil",manson my name is evil,2009.0,67.0,27.0,9.0,2341.0,Fresh,Spilled
Broken Hill,broken hill,2009.0,50.0,61.0,6.0,310.0,Rotten,Upright
A Beautiful Life,a beautiful life,2009.0,0.0,24.0,12.0,147.0,Rotten,Spilled
Suck,suck,2010.0,50.0,53.0,10.0,1880.0,Rotten,Spilled
Chloe,chloe,2010.0,51.0,39.0,163.0,30602.0,Rotten,Spilled
Armed and Dangerous,armed and dangerous,1986.0,10.0,39.0,10.0,9340.0,Rotten,Spilled
The Hole,the hole,2012.0,81.0,46.0,36.0,14727.0,Fresh,Spilled
NoBody's Perfect,nobody s perfect,2008.0,73.0,87.0,11.0,85.0,Fresh,Upright
The Good Soldier,the good soldier,2009.0,75.0,80.0,16.0,130.0,Fresh,Upright
High Life,high life,2009.0,80.0,43.0,5.0,631.0,Fresh,Spilled
Around the World in 80 Days,around the world in 80 days,1956.0,69.0,57.0,42.0,33440.0,Fresh,Spilled
The Fall,the fall,2009.0,20.0,,5.0,,Rotten,
The Good Heart,the good heart,2010.0,30.0,58.0,37.0,1590.0,Rotten,Spilled
Wonderful World,wonderful world,2010.0,42.0,33.0,31.0,1741.0,Rotten,Spilled
Collapse,collapse,2009.0,83.0,83.0,41.0,3587.0,Certified-Fresh,Upright
Three Blind Mice,three blind mice,,80.0,50.0,5.0,229.0,Fresh,Spilled
The Last Song,the last song,2010.0,21.0,66.0,120.0,160802.0,Rotten,Upright
Babies,babies,2010.0,68.0,62.0,116.0,35022.0,Fresh,Upright
Lottery Ticket,lottery ticket,2010.0,34.0,44.0,82.0,29996.0,Rotten,Spilled
Going the Distance,going the distance,2010.0,54.0,52.0,167.0,57438.0,Rotten,Spilled
Life as We Know It,life as we know it,2010.0,29.0,61.0,151.0,82457.0,Rotten,Upright
The Final,the final,2010.0,13.0,32.0,8.0,1088.0,Rotten,Spilled
Frozen,frozen,2010.0,63.0,46.0,97.0,20649.0,Fresh,Spilled
Prodigal Sons,prodigal sons,2010.0,87.0,79.0,30.0,476.0,Fresh,Upright
